1&-0&-0&-0&-0&-0&-0&-0&0.73&-0.029
-0&1&-0&-0&-0&-0&-0&-0&-0.039&0.29
-0&-0&1&-0&-0&-0&-0&-0&-0.12&0.083
-0&-0&-0&1&-0&-0&-0&-0&0.01&-0.094
-0&-0&-0&-0&1&-0&-0&-0&-0.002&-0.036
-0&-0&-0&-0&-0&1&-0&-0&-0.82&0.39
-0&-0&-0&-0&-0&-0&1&-0&-0.16&0.23
-0&-0&-0&-0&-0&-0&-0&1&-0.13&-0.63
0.73&-0.039&-0.12&0.01&-0.002&-0.82&-0.16&-0.13&1&0.34
-0.029&0.29&0.083&-0.094&-0.036&0.39&0.23&-0.63&0.34&1
