1&-0&-0&-0&0&-0&-0&-0&0.71&-0.024
-0&1&-0&-0&0&-0&-0&-0&0.35&0.11
-0&-0&1&-0&0&-0&-0&-0&0.35&0.027
-0&-0&-0&1&-0&-0&-0&-0&0.013&-0.23
0&0&0&-0&1&-0&-0&-0&-0.31&-0.078
-0&-0&-0&-0&-0&1&-0&-0&-0.81&0.3
-0&-0&-0&-0&-0&-0&1&-0&-0.17&0.088
-0&-0&-0&-0&-0&-0&-0&1&-0.17&-0.65
0.71&0.35&0.35&0.013&-0.31&-0.81&-0.17&-0.17&1&0.12
-0.024&0.11&0.027&-0.23&-0.078&0.3&0.088&-0.65&0.12&1
