1&0&0&0&0&0&0&0&0.51&-0.02
0&1&0&0&0&0&0&0&-0.02&0.22
0&0&1&0&0&0&0&0&-0.06&0.06
0&0&0&1&0&0&0&0&0&-0.07
0&0&0&0&1&0&0&0&-0&-0.03
0&0&0&0&0&1&0&0&-0.7&0.3
0&0&0&0&0&0&1&0&-0.08&0.17
0&0&0&0&0&0&0&1&-0.06&-0.57
0.51&-0.02&-0.06&0&-0&-0.7&-0.08&-0.06&1&-0.09
-0.02&0.22&0.06&-0.07&-0.03&0.3&0.17&-0.57&-0.09&1
