Available reserves,Date,Hour,Load shedding,Over generation,Reserve Price DA,Reserve Price RT,Reserve shortfall
939.885324,2020-01-05,23,0.0,0.0,,0.0,0
1234.198707,2020-01-05,24,0.0,0.0,,0.0,0
687.450702,2020-01-06,1,0.0,0.0,,0.0,0
588.013253,2020-01-06,2,0.0,0.0,,0.0,0
655.474849,2020-01-06,3,0.0,0.0,,0.0,0
694.715099,2020-01-06,4,0.0,0.0,,0.0,0
746.0,2020-01-06,5,0.0,0.0,,0.0,0
700.317249,2020-01-06,6,0.0,0.0,,0.0,0
406.30757,2020-01-06,7,0.0,0.0,,0.0,0
138.919115,2020-01-06,8,0.0,0.0,,0.0,0
746.0,2020-01-06,9,0.0,0.0,,0.0,0
746.0,2020-01-06,10,0.0,0.0,,0.0,0
746.0,2020-01-06,11,0.0,0.0,,0.0,0
746.0,2020-01-06,12,0.0,0.0,,0.0,0
746.0,2020-01-06,13,0.0,0.0,,0.0,0
746.0,2020-01-06,14,0.0,0.0,,0.0,0
746.0,2020-01-06,15,0.0,0.0,,0.0,0
746.0,2020-01-06,16,0.0,0.0,,0.0,0
746.0,2020-01-06,17,0.0,0.0,,0.0,0
246.377333,2020-01-06,18,0.0,0.0,,0.0,0
50.134533,2020-01-06,19,0.0,0.0,,0.0,0
11.988525,2020-01-06,20,0.0,0.0,,0.0,0
40.869218,2020-01-06,21,0.0,0.0,,0.0,0
213.497266,2020-01-06,22,0.0,0.0,,0.0,0
513.930062,2020-01-06,23,0.0,0.0,,0.0,0
698.609406,2020-01-06,24,0.0,0.0,,0.0,0
550.453845,2020-01-07,1,0.0,0.0,,0.0,0
464.441167,2020-01-07,2,0.0,0.0,,0.0,0
561.0,2020-01-07,3,0.0,0.0,,0.0,0
561.0,2020-01-07,4,0.0,0.0,,0.0,0
561.0,2020-01-07,5,0.0,0.0,,0.0,0
561.0,2020-01-07,6,0.0,0.0,,0.0,0
235.307306,2020-01-07,7,0.0,0.0,,0.0,0
62.81225,2020-01-07,8,0.0,0.0,,0.0,0
561.0,2020-01-07,9,0.0,0.0,,0.0,0
561.0,2020-01-07,10,0.0,0.0,,0.0,0
561.0,2020-01-07,11,0.0,0.0,,0.0,0
561.0,2020-01-07,12,0.0,0.0,,0.0,0
561.0,2020-01-07,13,0.0,0.0,,0.0,0
561.0,2020-01-07,14,0.0,0.0,,0.0,0
561.0,2020-01-07,15,0.0,0.0,,0.0,0
561.0,2020-01-07,16,0.0,0.0,,0.0,0
561.0,2020-01-07,17,0.0,0.0,,0.0,0
258.588979,2020-01-07,18,0.0,0.0,,0.0,0
0.343179,2020-01-07,19,0.0,0.0,,0.0,0
28.609142,2020-01-07,20,0.0,0.0,,0.0,0
16.677053,2020-01-07,21,0.0,0.0,,0.0,0
99.752504,2020-01-07,22,0.0,0.0,,0.0,0
96.793056,2020-01-07,23,0.0,0.0,,0.0,0
349.291355,2020-01-07,24,0.0,0.0,,0.0,0
433.553649,2020-01-08,1,0.0,0.0,,0.0,0
458.408298,2020-01-08,2,0.0,0.0,,0.0,0
955.0,2020-01-08,3,0.0,0.0,,0.0,0
955.0,2020-01-08,4,0.0,0.0,,0.0,0
782.4551,2020-01-08,5,0.0,0.0,,0.0,0
147.480521,2020-01-08,6,0.0,0.0,,0.0,0
64.246935,2020-01-08,7,0.0,0.0,,0.0,0
0.192384,2020-01-08,8,0.0,0.0,,0.0,0
865.847667,2020-01-08,9,0.0,0.0,,0.0,0
921.874999,2020-01-08,10,0.0,0.0,,0.0,0
865.847667,2020-01-08,11,0.0,0.0,,0.0,0
865.847667,2020-01-08,12,0.0,0.0,,0.0,0
865.847667,2020-01-08,13,0.0,0.0,,0.0,0
865.847667,2020-01-08,14,0.0,0.0,,0.0,0
865.847667,2020-01-08,15,0.0,0.0,,0.0,0
865.847667,2020-01-08,16,0.0,0.0,,0.0,0
865.847667,2020-01-08,17,0.0,0.0,,0.0,0
493.19077,2020-01-08,18,0.0,0.0,,0.0,0
76.580254,2020-01-08,19,0.0,0.0,,0.0,0
17.093074,2020-01-08,20,0.0,0.0,,0.0,0
63.472269,2020-01-08,21,0.0,0.0,,0.0,0
111.651388,2020-01-08,22,0.0,0.0,,0.0,0
329.807794,2020-01-08,23,0.0,0.0,,0.0,0
549.57201,2020-01-08,24,0.0,0.0,,0.0,0
662.286867,2020-01-09,1,0.0,0.0,,0.0,0
772.847667,2020-01-09,2,0.0,0.0,,0.0,0
772.847667,2020-01-09,3,0.0,0.0,,0.0,0
772.847667,2020-01-09,4,0.0,0.0,,0.0,0
772.847667,2020-01-09,5,0.0,0.0,,0.0,0
655.767213,2020-01-09,6,0.0,0.0,,0.0,0
277.964844,2020-01-09,7,0.0,0.0,,0.0,0
13.670176,2020-01-09,8,0.0,0.0,,0.0,0
854.09285,2020-01-09,9,0.0,0.0,,0.0,0
865.847667,2020-01-09,10,0.0,0.0,,0.0,0
865.847667,2020-01-09,11,0.0,0.0,,0.0,0
865.847667,2020-01-09,12,0.0,0.0,,0.0,0
816.455976,2020-01-09,13,0.0,0.0,,0.0,0
551.680296,2020-01-09,14,0.0,0.0,,0.0,0
521.791148,2020-01-09,15,0.0,0.0,,0.0,0
560.908362,2020-01-09,16,0.0,0.0,,0.0,0
853.859624,2020-01-09,17,0.0,0.0,,0.0,0
302.399885,2020-01-09,18,0.0,0.0,,0.0,0
3.390948,2020-01-09,19,0.0,0.0,,0.0,0
719.393132,2020-01-09,20,0.0,0.0,,0.0,0
1070.145319,2020-01-09,21,0.0,0.0,,0.0,0
1160.068974,2020-01-09,22,0.0,0.0,,0.0,0
986.339698,2020-01-09,23,0.0,0.0,,0.0,0
581.356952,2020-01-09,24,0.0,0.0,,0.0,0
520.917317,2020-01-10,1,0.0,0.0,,0.0,0
842.726888,2020-01-10,2,0.0,0.0,,0.0,0
920.696079,2020-01-10,3,0.0,0.0,,0.0,0
841.687115,2020-01-10,4,0.0,0.0,,0.0,0
605.242873,2020-01-10,5,0.0,0.0,,0.0,0
403.725066,2020-01-10,6,0.0,0.0,,0.0,0
169.991431,2020-01-10,7,0.0,0.0,,0.0,0
188.81476,2020-01-10,8,0.0,0.0,,0.0,0
975.73681,2020-01-10,9,0.0,0.0,,0.0,0
958.847667,2020-01-10,10,0.0,0.0,,0.0,0
958.847667,2020-01-10,11,0.0,0.0,,0.0,0
958.847667,2020-01-10,12,0.0,0.0,,0.0,0
958.847667,2020-01-10,13,0.0,0.0,,0.0,0
958.847667,2020-01-10,14,0.0,0.0,,0.0,0
958.847667,2020-01-10,15,0.0,0.0,,0.0,0
958.847667,2020-01-10,16,0.0,0.0,,0.0,0
882.125567,2020-01-10,17,0.0,0.0,,0.0,0
90.391748,2020-01-10,18,0.0,0.0,,0.0,0
3.989722,2020-01-10,19,0.0,0.0,,0.0,0
134.49183,2020-01-10,20,0.0,0.0,,0.0,0
334.066298,2020-01-10,21,0.0,0.0,,0.0,0
257.973219,2020-01-10,22,0.0,0.0,,0.0,0
256.920017,2020-01-10,23,0.0,0.0,,0.0,0
1041.300817,2020-01-10,24,0.0,0.0,,0.0,0
1076.301489,2020-01-11,1,0.0,0.0,,0.0,0
1017.836791,2020-01-11,2,0.0,0.0,,0.0,0
945.165199,2020-01-11,3,0.0,0.0,,0.0,0
988.414312,2020-01-11,4,0.0,0.0,,0.0,0
1162.125273,2020-01-11,5,0.0,0.0,,0.0,0
897.079282,2020-01-11,6,0.0,0.0,,0.0,0
592.119285,2020-01-11,7,0.0,0.0,,0.0,0
143.632991,2020-01-11,8,0.0,0.0,,0.0,0
186.936155,2020-01-11,9,0.0,0.0,,0.0,0
193.662476,2020-01-11,10,0.0,0.0,,0.0,0
314.091934,2020-01-11,11,0.0,0.0,,0.0,0
110.412229,2020-01-11,12,0.0,0.0,,0.0,0
353.772493,2020-01-11,13,0.0,0.0,,0.0,0
1007.186323,2020-01-11,14,0.0,0.0,,0.0,0
1194.018956,2020-01-11,15,0.0,0.0,,0.0,0
1148.763031,2020-01-11,16,0.0,0.0,,0.0,0
724.637209,2020-01-11,17,0.0,0.0,,0.0,0
255.440334,2020-01-11,18,0.0,0.0,,0.0,0
12.445808,2020-01-11,19,0.0,0.0,,0.0,0
243.071975,2020-01-11,20,0.0,0.0,,0.0,0
150.636087,2020-01-11,21,0.0,0.0,,0.0,0
220.120059,2020-01-11,22,0.0,0.0,,0.0,0
79.588408,2020-01-11,23,0.0,0.0,,0.0,0
387.145093,2020-01-11,24,0.0,0.0,,0.0,0
303.672746,2020-01-12,1,0.0,0.0,,0.0,0
462.822728,2020-01-12,2,0.0,0.0,,0.0,0
427.344034,2020-01-12,3,0.0,0.0,,0.0,0
678.0,2020-01-12,4,0.0,0.0,,0.0,0
678.0,2020-01-12,5,0.0,0.0,,0.0,0
675.96427,2020-01-12,6,0.0,0.0,,0.0,0
543.180537,2020-01-12,7,0.0,0.0,,0.0,0
377.457764,2020-01-12,8,0.0,0.0,,0.0,0
678.0,2020-01-12,9,0.0,0.0,,0.0,0
678.0,2020-01-12,10,0.0,0.0,,0.0,0
678.0,2020-01-12,11,0.0,0.0,,0.0,0
678.0,2020-01-12,12,0.0,0.0,,0.0,0
678.0,2020-01-12,13,0.0,0.0,,0.0,0
678.0,2020-01-12,14,0.0,0.0,,0.0,0
678.0,2020-01-12,15,0.0,0.0,,0.0,0
678.0,2020-01-12,16,0.0,0.0,,0.0,0
678.0,2020-01-12,17,0.0,0.0,,0.0,0
66.005093,2020-01-12,18,0.0,0.0,,0.0,0
2.677007,2020-01-12,19,0.0,0.0,,0.0,0
1.403511,2020-01-12,20,0.0,0.0,,0.0,0
193.120443,2020-01-12,21,0.0,0.0,,0.0,0
231.02126,2020-01-12,22,0.0,0.0,,0.0,0
381.885651,2020-01-12,23,0.0,0.0,,0.0,0
590.093319,2020-01-12,24,0.0,0.0,,0.0,0
536.940037,2020-01-13,1,0.0,0.0,,0.0,0
732.353318,2020-01-13,2,0.0,0.0,,0.0,0
980.31474,2020-01-13,3,0.0,0.0,,0.0,0
888.055631,2020-01-13,4,0.0,0.0,,0.0,0
1047.737172,2020-01-13,5,0.0,0.0,,0.0,0
840.243855,2020-01-13,6,0.0,0.0,,0.0,0
538.567861,2020-01-13,7,0.0,0.0,,0.0,0
40.181652,2020-01-13,8,0.0,0.0,,0.0,0
594.037977,2020-01-13,9,0.0,0.0,,0.0,0
770.850547,2020-01-13,10,0.0,0.0,,0.0,0
799.118238,2020-01-13,11,0.0,0.0,,0.0,0
996.151008,2020-01-13,12,0.0,0.0,,0.0,0
1024.541356,2020-01-13,13,0.0,0.0,,0.0,0
1106.168348,2020-01-13,14,0.0,0.0,,0.0,0
1019.605099,2020-01-13,15,0.0,0.0,,0.0,0
1128.997142,2020-01-13,16,0.0,0.0,,0.0,0
796.028878,2020-01-13,17,0.0,0.0,,0.0,0
5.438899,2020-01-13,18,0.0,0.0,,0.0,0
94.189864,2020-01-13,19,0.0,0.0,,0.0,0
219.012357,2020-01-13,20,0.0,0.0,,0.0,0
24.375763,2020-01-13,21,0.0,0.0,,0.0,0
166.085793,2020-01-13,22,0.0,0.0,,0.0,0
224.01384,2020-01-13,23,0.0,0.0,,0.0,0
365.946348,2020-01-13,24,0.0,0.0,,0.0,0
717.548363,2020-01-14,1,0.0,0.0,,0.0,0
763.377361,2020-01-14,2,0.0,0.0,,0.0,0
933.271566,2020-01-14,3,0.0,0.0,,0.0,0
956.0,2020-01-14,4,0.0,0.0,,0.0,0
956.0,2020-01-14,5,0.0,0.0,,0.0,0
951.798364,2020-01-14,6,0.0,0.0,,0.0,0
570.674906,2020-01-14,7,0.0,0.0,,0.0,0
0.0,2020-01-14,8,0.0,0.0,,0.0,0
984.547241,2020-01-14,9,0.0,0.0,,0.0,0
1061.073035,2020-01-14,10,0.0,0.0,,0.0,0
1050.847667,2020-01-14,11,0.0,0.0,,0.0,0
1050.847667,2020-01-14,12,0.0,0.0,,0.0,0
1050.847667,2020-01-14,13,0.0,0.0,,0.0,0
1050.847667,2020-01-14,14,0.0,0.0,,0.0,0
1050.847667,2020-01-14,15,0.0,0.0,,0.0,0
1050.847667,2020-01-14,16,0.0,0.0,,0.0,0
1050.847667,2020-01-14,17,0.0,0.0,,0.0,0
698.674052,2020-01-14,18,0.0,0.0,,0.0,0
0.0,2020-01-14,19,0.0,0.0,,0.0,0
5.417505,2020-01-14,20,0.0,0.0,,0.0,0
163.557287,2020-01-14,21,0.0,0.0,,0.0,0
548.387016,2020-01-14,22,0.0,0.0,,0.0,0
774.03764,2020-01-14,23,0.0,0.0,,0.0,0
1397.142618,2020-01-14,24,0.0,0.0,,0.0,0
1279.466414,2020-01-15,1,0.0,0.0,,0.0,0
1433.249596,2020-01-15,2,0.0,0.0,,0.0,0
1414.909561,2020-01-15,3,0.0,0.0,,0.0,0
1698.847667,2020-01-15,4,0.0,0.0,,0.0,0
1638.556218,2020-01-15,5,0.0,0.0,,0.0,0
958.361698,2020-01-15,6,0.0,0.0,,0.0,0
213.378826,2020-01-15,7,0.0,0.0,,0.0,0
284.561824,2020-01-15,8,0.0,0.0,,0.0,0
1196.049989,2020-01-15,9,0.0,0.0,,0.0,0
1754.874999,2020-01-15,10,0.0,0.0,,0.0,0
