Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-06,12,0.0,,0.0,0.0
CopperSheet,2020-01-06,13,0.0,,0.0,0.0
CopperSheet,2020-01-06,14,0.0,,0.0,0.0
CopperSheet,2020-01-06,15,0.0,,0.0,0.0
CopperSheet,2020-01-06,16,0.0,,0.0,0.0
CopperSheet,2020-01-06,17,0.0,,0.0,0.0
CopperSheet,2020-01-06,18,25.3,,0.0,0.0
CopperSheet,2020-01-06,19,33.035161,,0.0,0.0
CopperSheet,2020-01-06,20,36.123987,,0.0,0.0
CopperSheet,2020-01-06,21,33.035161,,0.0,0.0
CopperSheet,2020-01-06,22,25.3,,0.0,0.0
CopperSheet,2020-01-06,23,21.473871,,0.0,0.0
CopperSheet,2020-01-06,24,19.429677,,0.0,0.0
CopperSheet,2020-01-07,1,14.191503,,0.0,0.0
CopperSheet,2020-01-07,2,19.034194,,0.0,0.0
CopperSheet,2020-01-07,3,0.0,,0.0,0.0
CopperSheet,2020-01-07,4,0.0,,0.0,0.0
CopperSheet,2020-01-07,5,0.0,,0.0,0.0
CopperSheet,2020-01-07,6,14.191503,,0.0,0.0
CopperSheet,2020-01-07,7,21.843871,,0.0,0.0
CopperSheet,2020-01-07,8,25.3,,0.0,0.0
CopperSheet,2020-01-07,9,0.0,,0.0,0.0
CopperSheet,2020-01-07,10,0.0,,0.0,0.0
CopperSheet,2020-01-07,11,0.0,,0.0,0.0
CopperSheet,2020-01-07,12,0.0,,0.0,0.0
CopperSheet,2020-01-07,13,0.0,,0.0,0.0
CopperSheet,2020-01-07,14,0.0,,0.0,0.0
CopperSheet,2020-01-07,15,0.0,,0.0,0.0
CopperSheet,2020-01-07,16,0.0,,0.0,0.0
CopperSheet,2020-01-07,17,0.0,,0.0,0.0
CopperSheet,2020-01-07,18,20.419032,,0.0,0.0
CopperSheet,2020-01-07,19,10000.0,,0.0,0.0
CopperSheet,2020-01-07,20,25.3,,0.0,0.0
CopperSheet,2020-01-07,21,25.3,,0.0,0.0
CopperSheet,2020-01-07,22,25.3,,0.0,0.0
CopperSheet,2020-01-07,23,24.617429,,0.0,0.0
CopperSheet,2020-01-07,24,19.034194,,0.0,0.0
CopperSheet,2020-01-08,1,18.573548,,0.0,0.0
CopperSheet,2020-01-08,2,18.573548,,0.0,0.0
CopperSheet,2020-01-08,3,0.0,,0.0,0.0
CopperSheet,2020-01-08,4,0.0,,0.0,0.0
CopperSheet,2020-01-08,5,18.861,,0.0,0.0
CopperSheet,2020-01-08,6,26.324188,,0.0,0.0
CopperSheet,2020-01-08,7,30.530146,,0.0,0.0
